"tenkm","cbc_code","index90","index10","diff","easting","northing"
"IT04","J.",0.1262376238,0.2611386139,0.1349009901,98209,303627
"IT05","J.",0,0.1262376238,0.1262376238,99041,313598
"IT07","J.",0,0.3836633663,0.3836633663,100707,333540
"IT08","J.",0,0.1287128713,0.1287128713,101542,343511
"IT09","J.",0,0.1237623762,0.1237623762,102378,353481
"IT12","J.",0,0.5099009901,0.5099009901,106519,282855
"IT14","J.",0,0.1014851485,0.1014851485,108180,302796
"IT15","J.",0,0.4022277228,0.4022277228,109012,312766
"IT16","J.",0,0.125,0.125,109844,322736
"IT17","J.",0.1311881188,0,-0.131188119,110678,332706
"IT19","J.",0.2339108911,0.7995049505,0.5655940594,112348,352645
"IT28","J.",0.3712871287,0.3638613861,-0.007425743,121482,341840
"IT29","J.",0.2413366337,0.4962871287,0.254950495,122317,351809
"IT38","J.",0.25,0.1930693069,-0.056930693,131450,341006
"IV76","J.",0.1150990099,0,-0.11509901,-138041,242832
"IV78","J.",0.1225247525,0,-0.122524752,-136384,262823
"IV85","J.",0.0977722772,0,-0.097772277,-128872,232010
"IV87","J.",0,0.3415841584,0.3415841584,-127218,251999
"IV88","J.",0.1373762376,0,-0.137376238,-126389,261993
"IV89","J.",0.2698019802,0.1126237624,-0.157178218,-125560,271987
"IV93","J.",0,0.1349009901,0.1349009901,-120528,211197
"IV96","J.",0,0.3601485149,0.3601485149,-118052,241178
"IV97","J.",0.2586633663,0,-0.258663366,-117224,251171
"IV98","J.",0.448019802,0.2116336634,-0.236386139,-116396,261164
"IV99","J.",0.1138613861,0,-0.113861386,-115566,271157
"IW05","J.",0,0.2425742574,0.2425742574,-108885,230359
"IW07","J.",0,0.6051980198,0.6051980198,-107231,250343
"IW13","J.",0,0.1806930693,0.1806930693,-100542,209549
"IW16","J.",0,0.2623762376,0.2623762376,-98067,239525
"IW17","J.",0.1373762376,0.1138613861,-0.023514851,-97240,249516
"IW25","J.",0.1324257426,0.2611386139,0.1287128713,-88901,228708
"IW27","J.",0,0.2388613861,0.2388613861,-87249,248688
"IW28","J.",0,0.5284653465,0.5284653465,-86421,258679
"IW29","J.",0,0.129950495,0.129950495,-85592,268669
"IW35","J.",0.0829207921,0,-0.082920792,-78911,227882
"IW36","J.",0,0.5173267327,0.5173267327,-78086,237872
"IW37","J.",0.1126237624,0.4777227723,0.3650990099,-77259,247861
"IW38","J.",0.2747524752,0,-0.274752475,-76431,257850
"IW45","J.",0,0.2698019802,0.2698019802,-68922,227057
"IW47","J.",0,0.2487623762,0.2487623762,-67270,247034
"IW49","J.",0.120049505,0.2524752475,0.1324257426,-65614,267010
"IW54","J.",0,0.1150990099,0.1150990099,-59758,216245
"IW64","J.",0.1262376238,0,-0.126237624,-49771,215421
"IW67","J.",0,0.2301980198,0.2301980198,-47296,245381
"IW69","J.",0,0.1225247525,0.1225247525,-45641,265353
"IW75","J.",0.1101485149,0.1051980198,-0.004950495,-38961,224583
"IW77","J.",0,0.271039604,0.271039604,-37310,244554
"IW78","J.",0,0.3787128713,0.3787128713,-36483,254539
